,HMP ID,Organism Name,Domain,NCBI Superkingdom,HMP Isolation Body Site,Project Status,NCBI Submission Status,NCBI Project ID,Gene Count,IMG/HMP ID,Funding Source,Name Category,Name Details
36,79,Anaerofustis stercorihominis DSM 17244,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,19657,2331,641736193,NIH-HMP NHGRI,Anaerofustis,stercorihominis DSM 17244
37,80,Anaeroglobus geminatus F0357,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,50397,2148,2513237300,NIH-HMP Sequencing Center,Anaeroglobus,geminatus F0357
38,81,Anaerostipes caccae DSM 14662,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18213,3748,641736227,NIH-HMP NHGRI,Anaerostipes,caccae DSM 14662
39,82,Anaerotruncus colihominis DSM 17241,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,19659,4427,641736271,NIH-HMP NHGRI,Anaerotruncus,colihominis DSM 17241
40,83,Aneurinibacillus aneurinilyticus ATCC 12856,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,38313,6214,0,NIH-HMP Jumpstart Supplement,Aneurinibacillus,aneurinilyticus ATCC 12856
41,86,Atopobium rimae ATCC 49626,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,30999,1548,643886019,NIH-HMP Jumpstart Supplement,Atopobium,rimae ATCC 49626
42,91,Atopobium vaginae DSM 15829,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31435,1244,643886063,NIH-HMP Jumpstart Supplement,Atopobium,vaginae DSM 15829
43,101,Bacteroides sp. 2_1_16,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,38347,4683,647533110,NIH-NHGRI,Bacteroides,sp. 2_1_16
44,102,Bacteroides sp. 2_1_22,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,38349,4814,647533111,NIH-NHGRI,Bacteroides,sp. 2_1_22
45,104,Bacteroides sp. 3_1_19,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,41951,4328,648861002,NIH-NHGRI,Bacteroides,sp. 3_1_19
46,107,Bacteroidales bacterium ORNL_2OR_SD_356,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217538,0,0,NIH-HMP Sequencing Center,Bacteroidales,bacterium ORNL_2OR_SD_356
47,108,Bacteroidetes bacterium ORNL_1UT_ORNL_28,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217539,0,0,NIH-HMP Sequencing Center,Bacteroidetes,bacterium ORNL_1UT_ORNL_28
48,109,Bacteroides caccae ATCC 43185,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18163,3855,640963023,NIH-HMP NHGRI,Bacteroides,caccae ATCC 43185
49,110,Bacteroides capillosus ATCC 29799,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18173,4833,640963014,NIH-HMP NHGRI,Bacteroides,capillosus ATCC 29799
50,111,Bacteroides cellulosilyticus DSM 14838,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30027,5719,643886111,NIH-HMP NHGRI,Bacteroides,cellulosilyticus DSM 14838
51,113,Bacteroides coprocola DSM 17136,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,20521,4291,642791613,NIH-HMP NHGRI,Bacteroides,coprocola DSM 17136
52,114,Bacteroides coprophilus DSM 18228,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30371,3838,643886197,NIH-HMP NHGRI,Bacteroides,coprophilus DSM 18228
53,115,Bacteroides dorei DSM 17855,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,27831,4966,642979370,NIH-HMP NHGRI,Bacteroides,dorei DSM 17855
54,116,Bacteroides eggerthii DSM 20697,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,27827,3711,642979334,NIH-HMP NHGRI,Bacteroides,eggerthii DSM 20697
55,117,Bacteroides finegoldii DSM 17565,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,27823,4485,642979319,NIH-HMP NHGRI,Bacteroides,finegoldii DSM 17565
56,118,Bacteroides fragilis 3_1_12,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32433,4842,645058788,NIH-NHGRI,Bacteroides,fragilis 3_1_12
57,122,Bacteroides intestinalis DSM 17393,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,20523,4911,642791621,NIH-HMP NHGRI,Bacteroides,intestinalis DSM 17393
58,123,Bacteroides ovatus ATCC 8483,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18191,5536,641380449,NIH-HMP NHGRI,Bacteroides,ovatus ATCC 8483
59,124,Bacteroides pectinophilus ATCC 43243,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,27825,3246,642979337,NIH-HMP NHGRI,Bacteroides,pectinophilus ATCC 43243
60,126,Bacteroides plebeius DSM 17135,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,27829,3933,642979351,NIH-HMP NHGRI,Bacteroides,plebeius DSM 17135
61,127,Bacteroides sp. 1_1_30,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,41955,5299,651324013,NIH-NHGRI,Bacteroides,sp. 1_1_30
62,128,Bacteroides sp. 1_1_6,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32435,5429,646206272,NIH-NHGRI,Bacteroides,sp. 1_1_6
63,129,Parabacteroides sp. 2_1_7,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32437,4290,645058782,NIH-NHGRI,Parabacteroides,sp. 2_1_7
64,131,Bacteroides sp. 3_2_5,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32441,4131,646206273,NIH-NHGRI,Bacteroides,sp. 3_2_5
65,133,Bacteroides sp. 9_1_42FAA,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32445,4532,646206263,NIH-NHGRI,Bacteroides,sp. 9_1_42FAA
66,134,Bacteroides sp. D1,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32447,4686,646206264,NIH-NHGRI,Bacteroides,sp. D1
67,135,Bacteroides sp. D2,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32449,5200,645951811,NIH-NHGRI,Bacteroides,sp. D2
68,139,Bacteroides stercoris ATCC 43183,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,19859,3777,641736196,NIH-HMP NHGRI,Bacteroides,stercoris ATCC 43183
69,140,Bacteroides uniformis ATCC 8492,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18195,4663,641380447,NIH-HMP NHGRI,Bacteroides,uniformis ATCC 8492
70,142,Parabacteroides merdae ATCC 43184,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18193,4384,640963016,NIH-HMP NHGRI,Parabacteroides,merdae ATCC 43184
71,143,Veillonellaceae bacterium ORNL_6EZ3_F_Cy55,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217672,0,0,NIH-HMP Sequencing Center,Veillonellaceae,bacterium ORNL_6EZ3_F_Cy55
72,144,Veillonellaceae bacterium ORNL_6EZ3_F_Cy59,BACTERIAL,Bacteria,unknown,In Progress,4. sequence public on NCBI site,217673,0,0,NIH-HMP Sequencing Center,Veillonellaceae,bacterium ORNL_6EZ3_F_Cy59
73,149,Blautia sp. ORNL_6EZ5-Gt_2_Pl1-12,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217540,0,0,NIH-HMP Sequencing Center,Blautia,sp. ORNL_6EZ5-Gt_2_Pl1-12
74,150,Blautia sp. ORNL_6EZ5-Gt_5_Pl1-50,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217541,0,0,NIH-HMP Sequencing Center,Blautia,sp. ORNL_6EZ5-Gt_5_Pl1-50
75,151,Blautia sp. ORNL_6EZ5-Gt_6_Pl2-149,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217542,0,0,NIH-HMP Sequencing Center,Blautia,sp. ORNL_6EZ5-Gt_6_Pl2-149
76,152,Blautia sp. ORNL_6EZ5-Gt_7_Pl1-66,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217543,0,0,NIH-HMP Sequencing Center,Blautia,sp. ORNL_6EZ5-Gt_7_Pl1-66
77,153,Butyricicoccus sp. ORNL_6EZ5-Gt_4_Pl1-35,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217544,0,0,NIH-HMP Sequencing Center,Butyricicoccus,sp. ORNL_6EZ5-Gt_4_Pl1-35
78,154,Butyricicoccus sp. ORNL_6EZ5-Gt_6_Pl2-147,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217545,0,0,NIH-HMP Sequencing Center,Butyricicoccus,sp. ORNL_6EZ5-Gt_6_Pl2-147
79,156,Bacteroidetes oral taxon 274 str. F0058,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,41957,1905,648861005,NIH-HMP Jumpstart Supplement,Bacteroidetes,oral taxon 274 str. F0058
80,159,Bifidobacterium adolescentis L2-32,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18197,2428,640963015,NIH-HMP NHGRI,Bifidobacterium,adolescentis L2-32
81,160,Bifidobacterium angulatum DSM 20098,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,29261,1748,642979361,NIH-HMP NHGRI,Bifidobacterium,angulatum DSM 20098
82,161,Bifidobacterium bifidum ATCC 29521 = JCM 1255,BACTERIAL,NO KINGDOM,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,28655,2109,0,NIH-HMP NHGRI,Bifidobacterium,bifidum ATCC 29521 = JCM 1255
83,162,Bifidobacterium bifidum NCIMB 41171,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30055,1889,643886040,NIH-NHGRI,Bifidobacterium,bifidum NCIMB 41171
84,164,Bifidobacterium breve DSM 20213,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,29259,2263,643886102,NIH-HMP NHGRI,Bifidobacterium,breve DSM 20213
85,165,Bifidobacterium catenulatum DSM 16992,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30749,1950,642979312,NIH-HMP NHGRI,Bifidobacterium,catenulatum DSM 16992
86,167,Bifidobacterium dentium ATCC 27678,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,20555,2430,641736189,NIH-HMP NHGRI,Bifidobacterium,dentium ATCC 27678
87,168,Bifidobacterium dentium Bd1,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,51373,2336,648276623,NIH-HMP Jumpstart Supplement,Bifidobacterium,dentium Bd1
88,172,Bifidobacterium gallicum DSM 20093,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30751,1918,642979324,NIH-HMP NHGRI,Bifidobacterium,gallicum DSM 20093
89,173,Bifidobacterium longum subsp. infantis CCUG 52486,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30065,2179,643886216,NIH-NHGRI,Bifidobacterium,longum subsp. infantis CCUG 52486
90,175,Bifidobacterium longum subsp. infantis ATCC 55813,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,31437,2109,643886140,NIH-HMP Jumpstart Supplement,Bifidobacterium,longum subsp. infantis ATCC 55813
91,176,Bifidobacterium pseudocatenulatum DSM 20438,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30373,2151,642979313,NIH-HMP NHGRI,Bifidobacterium,pseudocatenulatum DSM 20438
92,178,Bilophila sp. 4_1_30,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,41961,4114,2513237322,NIH-NHGRI,Bilophila,sp. 4_1_30
93,179,Bilophila wadsworthia 3_1_6,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,41963,3786,649989917,NIH-NHGRI,Bilophila,wadsworthia 3_1_6
94,183,Brevibacterium mcbrellneri ATCC 49030,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,34583,2432,647000216,NIH-HMP Jumpstart Supplement,Brevibacterium,mcbrellneri ATCC 49030
95,185,Brevundimonas diminuta 470-4,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,67195,3506,0,NIH-HMP Sequencing Center,Brevundimonas,diminuta 470-4
96,186,Bryantella formatexigens DSM 14469,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,21051,4896,643886107,NIH-HMP NHGRI,Bryantella,formatexigens DSM 14469
97,190,Butyrivibrio crossotus DSM 2876,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,28999,2529,645951834,NIH-HMP NHGRI,Butyrivibrio,crossotus DSM 2876
98,191,Campylobacter gracilis RM3268,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,31021,2847,645951857,NIH-HMP Jumpstart Supplement,Campylobacter,gracilis RM3268
99,192,Campylobacter rectus RM3267,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,31017,2971,643886009,NIH-HMP Jumpstart Supplement,Campylobacter,rectus RM3267
100,193,Campylobacter showae RM3277,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,31019,2361,645058720,NIH-HMP Jumpstart Supplement,Campylobacter,showae RM3277
101,196,Capnocytophaga gingivalis ATCC 33624,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,31387,2588,643886113,NIH-HMP Jumpstart Supplement,Capnocytophaga,gingivalis ATCC 33624
102,197,Capnocytophaga sputigena ATCC 33612,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,30997,2672,642979305,NIH-HMP Jumpstart Supplement,Capnocytophaga,sputigena ATCC 33612
103,198,Cardiobacterium hominis ATCC 15826,BACTERIAL,Bacteria,blood,Complete,6. annotation (and sequence) public on NCBI site,37269,2581,645951819,NIH-HMP Jumpstart Supplement,Cardiobacterium,hominis ATCC 15826
104,199,Catenibacterium mitsuokai DSM 15897,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,19923,2977,643886110,NIH-HMP NHGRI,Catenibacterium,mitsuokai DSM 15897
105,200,Catonella morbi ATCC 51271,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,33121,3291,643886188,NIH-HMP Jumpstart Supplement,Catonella,morbi ATCC 51271
106,201,Cedecea davisae DSM 4568,BACTERIAL,NO KINGDOM,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30753,4805,0,NIH-HMP Sequencing Center,Cedecea,davisae DSM 4568
107,202,Cetobacterium somerae ATCC BAA-474,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,210739,2975,0,NIH-HMP Jumpstart Supplement,Cetobacterium,somerae ATCC BAA-474
108,204,Chryseobacterium gleum ATCC 35910,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,30953,5289,643886082,NIH-NHGRI,Chryseobacterium,gleum ATCC 35910
109,208,Citrobacter koseri DNF00568,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,257374,5055,0,NIH-HMP Sequencing Center,Citrobacter,koseri DNF00568
110,210,Citrobacter youngae ATCC 29220,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,28665,5278,643886075,NIH-HMP NHGRI,Citrobacter,youngae ATCC 29220
111,213,Clostridium asparagiforme DSM 15981,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,29263,6818,643886112,NIH-HMP NHGRI,Clostridium,asparagiforme DSM 15981
112,215,Clostridium bolteae ATCC BAA-613,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18165,7284,641380428,NIH-HMP NHGRI,Clostridium,bolteae ATCC BAA-613
113,216,Clostridium celatum DSM 1785,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30375,3453,2524023202,NIH-HMP Sequencing Center,Clostridium,celatum DSM 1785
114,219,Clostridium difficile NAP07,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,31439,3590,647000227,NIH-HMP Jumpstart Supplement,Clostridium,difficile NAP07
115,220,Clostridium difficile NAP08,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,31441,3765,647000228,NIH-HMP Jumpstart Supplement,Clostridium,difficile NAP08
116,221,Clostridium sp. L2-50,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18211,2949,641380448,NIH-HMP NHGRI,Clostridium,sp. L2-50
117,223,Clostridium hathewayi DSM 13479,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30755,7572,645951835,NIH-HMP NHGRI,Clostridium,hathewayi DSM 13479
118,224,Clostridium hiranonis DSM 13275,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,28657,2271,642979371,NIH-HMP NHGRI,Clostridium,hiranonis DSM 13275
119,225,Clostridium hylemonae DSM 15053,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30369,3976,642979359,NIH-HMP NHGRI,Clostridium,hylemonae DSM 15053
120,226,Clostridium sp. SS2/1,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18201,3167,641736270,NIH-HMP NHGRI,Clostridium,sp. SS2/1
121,227,Clostridium leptum DSM 753,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18923,3923,641380427,NIH-HMP NHGRI,Clostridium,leptum DSM 753
122,228,Clostridium methylpentosum DSM 5476,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30029,3907,643886206,NIH-HMP NHGRI,Clostridium,methylpentosum DSM 5476
123,229,Clostridium nexile DSM 1787,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,28659,4239,642979369,NIH-HMP NHGRI,Clostridium,nexile DSM 1787
